Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),w,x,y,z,Direct (°),Yaw (°),Pitch (°),Roll (°),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
157.8313111,20.76420667,73.73503,10469.27755,237.1119385,221.1699982,2.599999905,20.0,,,,,,,,,,,,,,,,,
158.8316233,20.76260167,73.73353,10467.98127,237.1119385,221.1000061,2.599999905,18.89999962,,,,,,,,,,,,,,,,,
159.830348,20.760995,73.73203167,10466.285,237.0949554,221.0700073,2.599999905,18.89999962,,,,,,,,,,,,,,,,,
160.8321329,20.75938833,73.730535,10463.98872,237.1165771,221.1399994,2.599999905,18.10000038,,,,,,,,,,,,,,,,,
161.8318738,20.75778,73.72903833,10461.49245,237.1515656,221.0800018,2.599999905,18.5,,,,,,,,,,,,,,,,,
162.8293978,20.75616833,73.72754333,10458.4962,237.2385559,221.1000061,2.599999905,18.89999962,,,,,,,,,,,,,,,,,
163.8309299,20.75455667,73.72604667,10455.09993,237.236496,221.1499939,2.599999905,19.79999924,,,,,,,,,,,,,,,,,
164.8311387,20.752945,73.72455333,10451.30368,237.2684174,221.0700073,2.599999905,20.0,,,,,,,,,,,,,,,,,
165.8299135,20.75133167,73.72305667,10447.10742,237.2328949,221.1300049,2.599999905,20.20000076,,,,,,,,,,,,,,,,,
166.8309821,20.74971833,73.72156333,10442.21116,237.1968689,221.1199951,2.599999905,19.29999924,,,,,,,,,,,,,,,,,
167.831491,20.74810667,73.72006833,10437.91489,237.3626099,221.1499939,2.599999905,19.0,,,,,,,,,,,,,,,,,
168.8294744,20.746495,73.71857333,10432.21862,237.7090149,221.1399994,2.599999905,18.70000076,,,,,,,,,,,,,,,,,
169.8314957,20.74488167,73.71707833,10427.22236,236.7886963,221.0800018,2.599999905,18.39999962,,,,,,,,,,,,,,,,,
170.8327077,20.74326833,73.715585,10422.72609,237.1551819,221.1100006,2.599999905,18.70000076,,,,,,,,,,,,,,,,,
171.8306849,20.74165833,73.71408833,10417.32981,237.1500244,221.25,2.599999905,18.70000076,,,,,,,,,,,,,,,,,
172.8308037,20.74004833,73.71259167,10412.23353,237.1845093,221.0399933,2.599999905,18.79999924,,,,,,,,,,,,,,,,,
173.8328828,20.73843667,73.71110167,10407.73726,237.0105438,221.1399994,2.599999905,18.89999962,,,,,,,,,,,,,,,,,
174.8279932,20.736825,73.70960833,10403.34098,237.0923767,221.1600037,2.599999905,19.20000076,,,,,,,,,,,,,,,,,
175.8306584,20.73521667,73.708115,10398.04469,236.7994995,221.2100067,2.599999905,18.39999962,,,,,,,,,,,,,,,,,
176.8301301,20.73361,73.70661833,10392.54838,237.2349548,221.3099976,2.599999905,17.79999924,,,,,,,,,,,,,,,,,
177.8297273,20.73200167,73.705125,10386.85209,236.899353,221.2100067,2.599999905,18.0,,,,,,,,,,,,,,,,,
178.8312532,20.73039167,73.70363333,10380.9558,237.0512085,221.2100067,2.599999905,17.70000076,,,,,,,,,,,,,,,,,
179.8328002,20.72878167,73.70214333,10375.85951,236.8226624,221.2200012,2.599999905,17.0,,,,,,,,,,,,,,,,,
180.8296636,20.72717167,73.70065,10371.26322,237.0038452,221.1999969,2.599999905,17.20000076,,,,,,,,,,,,,,,,,
181.8300904,20.72556,73.69916,10366.66693,236.7042847,221.2100067,2.5,17.0,,,,,,,,,,,,,,,,,
182.83122,20.723955,73.69766667,10361.67062,236.6718445,221.2400055,2.5,17.39999962,,,,,,,,,,,,,,,,,
183.8292735,20.72234833,73.69618167,10356.17431,236.1499176,221.1600037,2.5,17.60000038,,,,,,,,,,,,,,,,,
184.8325402,20.72074333,73.69469667,10351.77801,236.7253876,221.1499939,2.5,18.0,,,,,,,,,,,,,,,,,
185.8317046,20.71914,73.69320833,10346.78168,235.9265289,221.2200012,2.400000095,18.60000038,,,,,,,,,,,,,,,,,
186.828235,20.71753667,73.69172167,10340.88536,236.4165497,221.1900024,2.400000095,18.5,,,,,,,,,,,,,,,,,
187.8300388,20.71593333,73.69023167,10334.58904,236.4247894,221.3000031,2.400000095,18.5,,,,,,,,,,,,,,,,,
188.8308126,20.71433167,73.68874167,10328.6927,236.0866089,221.1799927,2.400000095,18.5,,,,,,,,,,,,,,,,,
189.8297342,20.71273167,73.68725167,10322.89636,236.5519257,221.2100067,2.400000095,17.60000038,,,,,,,,,,,,,,,,,
190.830927,20.71112833,73.68576,10316.70003,236.1669159,221.3099976,2.400000095,17.60000038,,,,,,,,,,,,,,,,,
191.8319286,20.709525,73.68427,10310.50369,236.4397125,221.1199951,2.400000095,17.5,,,,,,,,,,,,,,,,,
192.8282307,20.70792,73.68278,10305.20736,236.4325104,221.1600037,2.400000095,17.70000076,,,,,,,,,,,,,,,,,
193.8309673,20.70631667,73.68129,10300.11103,236.3516998,221.1699982,2.400000095,17.89999962,,,,,,,,,,,,,,,,,
194.830104,20.70471333,73.67979833,10294.51469,236.5951538,221.1000061,2.400000095,18.0,,,,,,,,,,,,,,,,,
195.8302225,20.70310833,73.67830833,10289.61835,236.5771484,221.1799927,2.400000095,18.10000038,,,,,,,,,,,,,,,,,
196.8324006,20.701505,73.676815,10284.022,236.3105164,221.1900024,2.400000095,17.60000038,,,,,,,,,,,,,,,,,
197.8336587,20.69989667,73.675325,10277.92568,236.6244965,221.0700073,2.400000095,17.29999924,,,,,,,,,,,,,,,,,
198.8277899,20.69828667,73.67383333,10273.12935,236.6033936,221.0899963,2.400000095,17.60000038,,,,,,,,,,,,,,,,,
199.8292994,20.69667667,73.67234167,10268.53302,236.6955261,220.9900055,2.400000095,17.5,,,,,,,,,,,,,,,,,
200.8314188,20.69506333,73.67085333,10261.53671,236.7011871,221.1000061,2.400000095,17.5,,,,,,,,,,,,,,,,,
201.8314345,20.69345667,73.669355,10256.54036,236.66362,221.1699982,2.5,18.29999924,,,,,,,,,,,,,,,,,
202.8317341,20.69185167,73.66785833,10250.744,236.6764832,221.3300018,2.5,18.79999924,,,,,,,,,,,,,,,,,
203.8312467,20.69024,73.66636,10247.54766,236.9029541,221.2799988,2.299999952,17.20000076,,,,,,,,,,,,,,,,,
204.8279969,20.68863333,73.66486167,10241.25131,236.7444305,221.1000061,2.299999952,17.0,,,,,,,,,,,,,,,,,
205.8294597,20.687025,73.663365,10236.65496,236.741333,221.1799927,2.299999952,16.29999924,,,,,,,,,,,,,,,,,
206.8307359,20.68541667,73.66186667,10232.7586,236.5215454,221.2100067,2.299999952,15.30000019,,,,,,,,,,,,,,,,,
